date,pointIndex,timePoint,declarationPower,declarationPowerUpper,declarationPowerLower,declarationStartStopState,declarationPercent,defaultDeclarationPower,defaultDeclarationPowerUpper,defaultDeclarationPowerLower,defaultDeclarationStartStopState,defaultDeclarationPercent,dayAheadUserMediumLongPower,dayAheadUserStandardPower,dayAheadUserSumPower,dayAheadUserClearingPower,dayAheadUserPrice,dayAheadUserPriceFinal,dayAheadUserSouthPrice,dayAheadUserNorthPrice,dayAheadPublicClearingPower,dayAheadPublicPrice,dayAheadPublicSouthPrice,dayAheadPublicNorthPrice,dayAheadPublicSouthNodePrice,dayAheadPublicNorthNodePrice,realTimeSouthPrice,realTimeNorthPrice,realTimeSouthNodePrice,realTimeNorthNodePrice,realTimeSouthReleaseType,realTimeNorthReleaseType,realTimeClearingPower,realTimeAvgPrice,realTimePointPrice,realTimeAvgPriceCurrent,realTimePointPriceCurrent,realTimeAvgPriceFinal,realTimePointPriceFinal,actualKwh,settleAmount,sourceTargets,sourceFiles
2026-05-12,46,11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.6,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,47,11:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.5,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,48,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.7,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,49,12:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.7,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,50,12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.1,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,51,12:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,52,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.9,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,53,13:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,54,13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.4,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,55,13:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.5,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
