"source_file","export_month","trade_date","hour_index","hour_window","raw_value","raw_unit_label","contains_credentials"
"1、交易计算表2月.xls","2026-02","2026-02-18","19","18:00-19:00","77881","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-18","20","19:00-20:00","79228","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-18","21","20:00-21:00","79972","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-18","22","21:00-22:00","84880","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-18","23","22:00-23:00","72538","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-18","24","23:00-24:00","70040","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","1","00:00-01:00","33275","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","2","01:00-02:00","41543","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","3","02:00-03:00","25273","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","4","03:00-04:00","30499","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","5","04:00-05:00","37079","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","6","05:00-06:00","50424","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","7","06:00-07:00","69132","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
